year,share,type,milestone,source
2000,0.00,historical,,"IndexMundi"
2005,0.00,historical,,"IndexMundi"
2010,0.10,historical,,"EBSCO Power and Energy"
2015,0.00,historical,,"IndexMundi"
2018,3.59,historical,,"Macrotrends"
2019,3.51,historical,,"Macrotrends"
2020,3.92,historical,,"Macrotrends"
2021,4.60,historical,,"Macrotrends"
2025,45.00,target,"Intended NDC","IMF eLibrary / Intended NDC"
2030,70.00,target,"Energy Roadmap 2030","Palau Gov Energy Roadmap 2030"
2040,85.00,projection,"Intermediate roadmap projection","Linear transition trajectory"
2045,100.00,target,"Accelerated grid target phase","Blue Planet Alliance"
2050,100.00,target,"Ultimate roadmap goal","Palau NDC 3.0 / UNFCCC"
